"age","year","M2"
"1","1980",0.643318746878983
"2","1980",0.0565158181513834
"3","1980",0.0153103765125326
"4","1980",0.011707924902541
"5","1980",0.023410624332668
"1","1981",0.866315461401343
"2","1981",0.0351483442105589
"3","1981",0.00895905935907164
"4","1981",0.00596430084892024
"5","1981",0.0142675880878507
"1","1982",0.83784547877171
"2","1982",0.0687438183236464
"3","1982",0.0173346531357068
"4","1982",0.0155213021775379
"5","1982",0.0247568715700557
"1","1983",0.635260056021602
"2","1983",0.0690234428283747
"3","1983",0.0205271492815153
"4","1983",0.0136230607767514
"5","1983",0.0329889458601792
"1","1984",0.908119108502927
"2","1984",0.0495146987319675
"3","1984",0.0349445372298258
"4","1984",0.0197547154897062
"5","1984",0.0586764733999723
"1","1985",0.914907897116474
"2","1985",0.0278653712133312
"3","1985",0.0109218592160793
"4","1985",0.00995358969943153
"5","1985",0.0153892781847953
"1","1986",1.1974791341621
"2","1986",0.0595959386980814
"3","1986",0.0419294159138638
"4","1986",0.0399869504529107
"5","1986",0.0581325757446043
"1","1987",1.07083120814892
"2","1987",0.0348133636603695
"3","1987",0.0292283574458533
"4","1987",0.0228710844029369
"5","1987",0.0443006287173407
"1","1988",1.12618953946886
"2","1988",0.045834589728465
"3","1988",0.0181984446369479
"4","1988",0.0169492144145233
"5","1988",0.0254721199835533
"1","1989",0.970312529148718
"2","1989",0.151248032571654
"3","1989",0.0163210511570313
"4","1989",0.0159086457772167
"5","1989",0.0223481377256276
"1","1990",0.844227667409018
"2","1990",0.043324602303261
"3","1990",0.0222541402554143
"4","1990",0.0219733403016907
"5","1990",0.0302667695877327
"1","1991",1.06370365292381
"2","1991",0.0222012370300809
"3","1991",0.0249402242933742
"4","1991",0.0158603136040408
"5","1991",0.0405100292908184
"1","1992",0.937558447999047
"2","1992",0.192475980651421
"3","1992",0.0203153733958173
"4","1992",0.0194697114568983
"5","1992",0.0280942088784546
"1","1993",0.758745185727076
"2","1993",0.118627080729537
"3","1993",0.0161268979232253
"4","1993",0.0149108533338079
"5","1993",0.0227290286885231
"1","1994",0.603272885389856
"2","1994",0.0255041176897742
"3","1994",0.0399263884765045
"4","1994",0.0114716944204496
"5","1994",0.0754560217905589
"1","1995",0.67243945655712
"2","1995",0.0151556652013149
"3","1995",0.0308715515804357
"4","1995",0.0324558155778767
"5","1995",0.0405772366015315
"1","1996",0.525516240231577
"2","1996",0.101004251239376
"3","1996",0.0218101390435935
"4","1996",0.0227113472169646
"5","1996",0.028839862224278
"1","1997",0.430011012042364
"2","1997",0.0272735258351518
"3","1997",0.0145548602778094
"4","1997",0.015074877454623
"5","1997",0.0192921861466942
"1","1998",0.378529440992668
"2","1998",0.0179052847640773
"3","1998",0.0212276550303395
"4","1998",0.0097339217736545
"5","1998",0.0373807138908749
"1","1999",0.333932785341408
"2","1999",0.0304822616183736
"3","1999",0.0149305208534778
"4","1999",0.0155794695185197
"5","1999",0.0197127147931164
"1","2000",0.530790209253728
"2","2000",0.0101928503512592
"3","2000",0.00553801108876076
"4","2000",0.00560973240472176
"5","2000",0.00736720742290887
"1","2001",0.534077891351957
"2","2001",0.0107331993602918
"3","2001",0.0102132661550293
"4","2001",0.00814264067177133
"5","2001",0.0153282042149755
"1","2002",0.408917756708318
"2","2002",0.0260052738458547
"3","2002",0.00704655870136312
"4","2002",0.00636870755709354
"5","2002",0.0100416997602953
"1","2003",0.505748122509957
"2","2003",0.0226434432262961
"3","2003",0.00576144814418417
"4","2003",0.00567012321067637
"5","2003",0.00780413504440143
"1","2004",0.403796397849912
"2","2004",0.0156919848908861
"3","2004",0.00525210134711659
"4","2004",0.00416647259958493
"5","2004",0.00788140132878534
"1","2005",0.498088137698313
"2","2005",0.021815450653487
"3","2005",0.0070175878030561
"4","2005",0.00601050043259581
"5","2005",0.0101971635171238
"1","2006",0.521143780655577
"2","2006",0.0194985073870033
"3","2006",0.00454495688863876
"4","2006",0.00427281045154287
"5","2006",0.0063026756268618
"1","2007",0.44954463826651
"2","2007",0.0334952090564838
"3","2007",0.00468760264550385
"4","2007",0.00339068879484082
"5","2007",0.00728948971828992
"1","2008",0.350348494235137
"2","2008",0.0533056297734607
"3","2008",0.00420950167022828
"4","2008",0.00302717217389583
"5","2008",0.00657376929539425
"1","2009",0.264862495289105
"2","2009",0.0100136935763172
"3","2009",0.00368199199978935
"4","2009",0.00305599551241974
"5","2009",0.00542692210425606
"1","2010",0.362626906624695
"2","2010",0.0120724938470186
"3","2010",0.00336941159149215
"4","2010",0.00274456873591133
"5","2010",0.00499019367923417
"1","2011",0.487870520025749
"2","2011",0.0394556641411194
"3","2011",0.00246707935862319
"4","2011",0.00212354399797042
"5","2011",0.00353518215570242
"1","2012",0.537929605192118
"2","2012",0.0188643771592199
"3","2012",0.00421897502776157
"4","2012",0.00298741461228904
"5","2012",0.00656961100351585
"1","2013",0.384315991416067
"2","2013",0.0165226945980061
"3","2013",0.0100502437998603
"4","2013",0.00288161322608442
"5","2013",0.0189976113956256
"1","2014",0.544918181373184
"2","2014",0.013549099106143
"3","2014",0.00900848477890364
"4","2014",0.00888339639242241
"5","2014",0.0122208394348103
"1","2015",0.566326191030416
"2","2015",0.0139958832260504
"3","2015",0.00637735630097147
"4","2015",0.0063221998232846
"5","2015",0.00859905050138506
"1","2016",0.703661245747975
"2","2016",0.012097680962571
"3","2016",0.00984274654883311
"4","2016",0.0101973614307183
"5","2016",0.0129667983023422
"1","2017",0.722215315422716
"2","2017",0.0253872066508545
"3","2017",0.00400836423938746
"4","2017",0.00342803545196728
"5","2017",0.00579530806561634
"1","2018",0.781243696200968
"2","2018",0.035258981617206
"3","2018",0.00404115479606159
"4","2018",0.00361275126585348
"5","2018",0.00570033695962693
"1","2019",0.609460345823911
"2","2019",0.07342253938467
"3","2019",0.00399007753237967
"4","2019",0.0029618303922473
"5","2019",0.0061399478529899
"1","2020",0.487013145803992
"2","2020",0.0206367834114611
"3","2020",0.00394355437692689
"4","2020",0.00296291999156167
"5","2020",0.00601310054002864
"1","2021",0.514670714357057
"2","2021",0.0117540697443842
"3","2021",0.00259258465201523
"4","2021",0.00238302621916336
"5","2021",0.00360128112826562
"1","2022",0.403806297875477
"2","2022",0.0356031876427393
"3","2022",0.00251834474009949
"4","2022",0.00158238306713126
"5","2022",0.00407251246014202
"1","2023",0.415304437366638
"2","2023",0.0187960259180374
"3","2023",0.00224956603104593
"4","2023",0.00173425495010953
"5","2023",0.00338558397594744
"1","2024",0.375570329070871
"2","2024",0.00558400383240515
"3","2024",0.00384694587721075
"4","2024",0.00144316652141933
"5","2024",0.0069727772147346
"1","2025",0.39484041208241
"2","2025",0.00654077654923887
"3","2025",0.00263748004238036
"4","2025",0.00266918557489045
"5","2025",0.00349704591128999
"1","2026",0.394580621911366
"2","2026",0.00777933093081857
"3","2026",0.00160251671192978
"4","2026",0.00158999360144324
"5","2026",0.00212549229736303
"1","2027",0.406447621265127
"2","2027",0.00330212595385597
"3","2027",0.00104446854599878
"4","2027",0.00105350436094466
"5","2027",0.00135106748564106
"1","2028",0.410267173377481
"2","2028",0.00683156075263847
"3","2028",0.00114257760497265
"4","2028",0.000751808037989048
"5","2028",0.00178557775591051
"1","2029",0.4092553415419
"2","2029",0.00593260551025259
"3","2029",0.000852461153304286
"4","2029",0.000866367069803199
"5","2029",0.00108751261196656
"1","2030",0.410393907754686
"2","2030",0.00545448198458886
"3","2030",0.000785911671152484
"4","2030",0.000648644662364391
"5","2030",0.00111116129326557
"1","2031",0.409069494952317
"2","2031",0.00630835239350074
"3","2031",0.000698806798658589
"4","2031",0.00063712060330147
"5","2031",0.000936530987568166
"1","2032",0.408434117351777
"2","2032",0.00641803243820307
"3","2032",0.000585792175856517
"4","2032",0.000579189465774071
"5","2032",0.000742062380673336
"1","2033",0.407143972581529
"2","2033",0.00648630976285944
"3","2033",0.00060842652639274
"4","2033",0.000511167859115542
"5","2033",0.000841144740846216
"1","2034",0.406617963399049
"2","2034",0.00646575445436563
"3","2034",0.000626226526507662
"4","2034",0.000537476578331709
"5","2034",0.00085892819906674
"1","2035",0.406078040100029
"2","2035",0.0064364518709648
"3","2035",0.000644236770483745
"4","2035",0.00054544307236469
"5","2035",0.000890950259957526
"1","2036",0.405848070255114
