"age","year","numbers"
"1","1980",0.434603109956819
"2","1980",0.0505261054891946
"3","1980",0.031300645329112
"4","1980",0.0357330734743093
"5","1980",0.0581153227933665
"1","1981",1.84732330477607
"2","1981",0.0165533158006181
"3","1981",0.00581406151517674
"4","1981",0.00523248958736545
"5","1981",0.0106239836462556
"1","1982",1.11084653694819
"2","1982",0.0463658529708426
"3","1982",0.0229040169269194
"4","1982",0.0274006472037325
"5","1982",0.0424525939845867
"1","1983",0.485521220667344
"2","1983",0.0512077355418468
"3","1983",0.0262447731449085
"4","1983",0.025926826632892
"5","1983",0.0487125461407382
"1","1984",0.569260618397229
"2","1984",0.035730876664407
"3","1984",0.0378434616036196
"4","1984",0.031035043398446
"5","1984",0.0702546629844583
"1","1985",1.71129124825965
"2","1985",0.0117958620507667
"3","1985",0.00560434156775645
"4","1985",0.00621706385190601
"5","1985",0.0102451046765328
"1","1986",1.17350609954312
"2","1986",0.0416562463544883
"3","1986",0.0685924957153746
"4","1986",0.0875333061676931
"5","1986",0.12732286967734
"1","1987",0.594376799962942
"2","1987",0.0246064285298065
"3","1987",0.0301733682838022
"4","1987",0.0325859142696271
"5","1987",0.0559967175084279
"1","1988",1.73902802315607
"2","1988",0.0180624903893257
"3","1988",0.00676700548107304
"4","1988",0.00786101037677645
"5","1988",0.0124079288393374
"1","1989",1.11319642753951
"2","1989",0.0823991987974384
"3","1989",0.0132992483189429
"4","1989",0.0163797579858
"5","1989",0.0246144506762067
"1","1990",0.547703444382737
"2","1990",0.0280380831039534
"3","1990",0.028802387387522
"4","1990",0.0369562580691233
"5","1990",0.0534549451781015
"1","1991",1.21462190966602
"2","1991",0.0088452492580061
"3","1991",0.0117016680650875
"4","1991",0.0100352169454417
"5","1991",0.0216223689560233
"1","1992",1.24932126418436
"2","1992",0.0670528549783937
"3","1992",0.0105920302842512
"4","1992",0.0127708924994949
"5","1992",0.0195696966453524
"1","1993",0.873259936384232
"2","1993",0.0827794624238539
"3","1993",0.0136268288877519
"4","1993",0.0166044410577082
"5","1993",0.0252479601530873
"1","1994",0.676850396629751
"2","1994",0.0145496973524014
"3","1994",0.0248916877816864
"4","1994",0.0110271944482401
"5","1994",0.0461822410428688
"1","1995",0.75599508439389
"2","1995",0.0138822169213394
"3","1995",0.0256821507781705
"4","1995",0.0338905901147375
"5","1995",0.0476419730358647
"1","1996",0.555830335389135
"2","1996",0.0666911070442189
"3","1996",0.0223773546102844
"4","1996",0.0294112830851241
"5","1996",0.0415240511757748
"1","1997",0.418204555492201
"2","1997",0.0274276199652526
"3","1997",0.0156184412390959
"4","1997",0.0203536634210922
"5","1997",0.0289779317468622
"1","1998",0.319833089104868
"2","1998",0.0162882305903893
"3","1998",0.022785275470873
"4","1998",0.0149275510585043
"5","1998",0.0423046034408013
"1","1999",0.329854625406035
"2","1999",0.0268326117308113
"3","1999",0.0224765894000664
"4","1999",0.0296961290662658
"5","1999",0.04172620485266
"1","2000",1.06649536120738
"2","2000",0.00790106298181337
"3","2000",0.00422813533069306
"4","2000",0.00522868409598851
"5","2000",0.00775157521970271
"1","2001",0.828115132996184
"2","2001",0.0114006174554558
"3","2001",0.0150503761283651
"4","2001",0.0165526614071156
"5","2001",0.0278854959936449
"1","2002",0.468768491640161
"2","2002",0.0279657090033685
"3","2002",0.0081055201753282
"4","2002",0.0091737173263689
"5","2002",0.0150120014644656
"1","2003",0.479653016924188
"2","2003",0.026639725028443
"3","2003",0.00665081985438303
"4","2003",0.00811239230502547
"5","2003",0.0123101408859293
"1","2004",0.3746416692605
"2","2004",0.0192320675402512
