"age","year","M2"
"2","2032",0
"3","2032",0
"4","2032",0
"5","2032",0.000341082415164107
"1","2033",0.0604065243058818
"2","2033",0
"3","2033",0
"4","2033",0
"5","2033",0.000373752977936695
"1","2034",0.060400585167691
"2","2034",0
"3","2034",0
"4","2034",0
"5","2034",0.00037824649140876
"1","2035",0.0603867435115959
"2","2035",0
"3","2035",0
"4","2035",0
"5","2035",0.000377303593301014
"1","2036",0.0603866033331314
"2","2036",0
"3","2036",0
"4","2036",0
"5","2036",0.000377311722070811
"1","2037",0.0603852983601566
"2","2037",0
"3","2037",0
"4","2037",0
"5","2037",0.000377048059655988
"1","2038",0.0603849020502158
"2","2038",0
"3","2038",0
"4","2038",0
"5","2038",0.00037709284110363
"1","2039",0.0603850676711297
"2","2039",0
"3","2039",0
"4","2039",0
"5","2039",0.000376752131493029
"1","2040",0.0603851613468209
"2","2040",0
"3","2040",0
"4","2040",0
"5","2040",0.000376779207221106
"1","2041",0.0603852681319413
"2","2041",0
"3","2041",0
"4","2041",0
"5","2041",0.000376786482196824
"1","2042",0.0603853163391053
"2","2042",0
"3","2042",0
"4","2042",0
"5","2042",0.000376756850434747
"1","2043",0.0603853395767605
"2","2043",0
"3","2043",0
"4","2043",0
"5","2043",0.000376756505607549
"1","2044",0.06038535490689
"2","2044",0
"3","2044",0
"4","2044",0
"5","2044",0.000376756227510535
"1","2045",0.0603853548969789
"2","2045",0
"3","2045",0
"4","2045",0
"5","2045",0.000376756858898364
"1","2046",0.0603853567406277
"2","2046",0
"3","2046",0
"4","2046",0
"5","2046",0.000376757417891953
"1","2047",0.0603853563623768
"2","2047",0
"3","2047",0
"4","2047",0
"5","2047",0.000376757685396484
"1","2048",0.0603853557648165
"2","2048",0
"3","2048",0
"4","2048",0
"5","2048",0.000376758212832618
"1","2049",0.0603853558319106
"2","2049",0
"3","2049",0
"4","2049",0
"5","2049",0.000376758213055491
"1","2050",0.0603853555810832
"2","2050",0
"3","2050",0
"4","2050",0
"5","2050",0.00037675825330592
"1","2051",0.060385355619668
"2","2051",0
"3","2051",0
"4","2051",0
"5","2051",0.000376758260105642
"1","2052",0.0603853555797256
"2","2052",0
"3","2052",0
"4","2052",0
"5","2052",0.000376758236289905
"1","2053",0.0603853555882406
"2","2053",0
"3","2053",0
"4","2053",0
"5","2053",0.000376758239453503
"1","2054",0.0603853555852726
"2","2054",0
"3","2054",0
"4","2054",0
"5","2054",0.000376758233883072
"1","2055",0.0603853555864465
"2","2055",0
"3","2055",0
"4","2055",0
"5","2055",0.000376758234602594
"1","2056",0.0603853555864892
"2","2056",0
"3","2056",0
"4","2056",0
"5","2056",0.000376758234209243
"1","2057",0.0603853555866443
"2","2057",0
"3","2057",0
"4","2057",0
"5","2057",0.000376758234351128
"1","2058",0.0603853555866988
"2","2058",0
"3","2058",0
"4","2058",0
"5","2058",0.000376758234347987
"1","2059",0.0603853555867228
"2","2059",0
"3","2059",0
"4","2059",0
"5","2059",0.00037675823435317
"1","2060",0.0603853555867327
"2","2060",0
"3","2060",0
"4","2060",0
"5","2060",0.00037675823435387
"1","2061",0.0603853555867353
"2","2061",0
"3","2061",0
"4","2061",0
"5","2061",0.000376758234354414
"1","2062",0.0603853555867362
"2","2062",0
"3","2062",0
"4","2062",0
"5","2062",0.000376758234354869
"1","2063",0.0603853555867358
"2","2063",0
"3","2063",0
"4","2063",0
"5","2063",0.000376758234355184
"1","2064",0.0603853555867356
"2","2064",0
"3","2064",0
"4","2064",0
"5","2064",0.000376758234355443
"1","2065",0.0603853555867354
"2","2065",0
"3","2065",0
"4","2065",0
"5","2065",0.000376758234355559
"1","2066",0.0603853555867354
"2","2066",0
"3","2066",0
"4","2066",0
"5","2066",0.000376758234355608
"1","2067",0.0603853555867354
"2","2067",0
"3","2067",0
"4","2067",0
"5","2067",0.000376758234355598
"1","2068",0.0603853555867354
"2","2068",0
"3","2068",0
"4","2068",0
"5","2068",0.00037675823435559
"1","2069",0.0603853555867354
"2","2069",0
"3","2069",0
"4","2069",0
"5","2069",0.000376758234355583
"1","2070",0.0603853555867354
"2","2070",0
"3","2070",0
"4","2070",0
"5","2070",0.000376758234355581
"1","2071",0.0603853555867354
"2","2071",0
"3","2071",0
"4","2071",0
"5","2071",0.000376758234355581
"1","2072",0.0603853555867354
"2","2072",0
"3","2072",0
"4","2072",0
"5","2072",0.000376758234355581
"1","2073",0.0603853555867354
"2","2073",0
"3","2073",0
"4","2073",0
"5","2073",0.000376758234355581
"1","2074",0.0603853555867354
"2","2074",0
"3","2074",0
"4","2074",0
"5","2074",0.000376758234355581
"1","2075",0.0603853555867354
"2","2075",0
"3","2075",0
"4","2075",0
"5","2075",0.000376758234355581
"1","2076",0.0603853555867354
"2","2076",0
"3","2076",0
"4","2076",0
"5","2076",0.000376758234355581
"1","2077",0.0603853555867354
"2","2077",0
"3","2077",0
"4","2077",0
"5","2077",0.000376758234355581
"1","2078",0.0603853555867354
"2","2078",0
"3","2078",0
"4","2078",0
"5","2078",0.000376758234355581
"1","2079",0.0603853555867354
"2","2079",0
"3","2079",0
"4","2079",0
"5","2079",0.000376758234355581
"1","2080",0.0603853555867354
"2","2080",0
"3","2080",0
"4","2080",0
"5","2080",0.000376758234355581
"1","2081",0.0603853555867354
"2","2081",0
"3","2081",0
"4","2081",0
"5","2081",0.000376758234355581
"1","2082",0.0603853555867354
"2","2082",0
"3","2082",0
"4","2082",0
"5","2082",0.000376758234355581
"1","2083",0.0603853555867354
"2","2083",0
"3","2083",0
"4","2083",0
"5","2083",0.000376758234355581
"1","2084",0.0603853555867354
"2","2084",0
"3","2084",0
"4","2084",0
"5","2084",0.000376758234355581
"1","2085",0.0603853555867354
"2","2085",0
"3","2085",0
"4","2085",0
"5","2085",0.000376758234355581
"1","2086",0.0603853555867354
"2","2086",0
"3","2086",0
"4","2086",0
"5","2086",0.000376758234355581
"1","2087",0.0603853555867354
"2","2087",0
"3","2087",0
"4","2087",0
"5","2087",0.000376758234355581
"1","2088",0.0603853555867354
"2","2088",0
"3","2088",0
"4","2088",0
"5","2088",0.000376758234355581
"1","2089",0.0603853555867354
"2","2089",0
